Open_time,Buy_1000x_high,sell_1000x_high,total_trades_binance
2022-10-24 03:00:00,430,460,15000.00000000
2022-10-25 03:00:00,1064,1229,46000.00000000
2022-10-26 03:00:00,772,879,27000.00000000
2022-10-27 03:00:00,849,851,28000.00000000
2022-10-28 03:00:00,611,597,18000.00000000
2022-10-29 03:00:00,833,756,31000.00000000
2022-10-30 03:00:00,608,578,21000.00000000
2022-10-31 03:00:00,826,812,30000.00000000
2022-11-01 03:00:00,498,445,19000.00000000
2022-11-02 03:00:00,753,618,32000.00000000
2022-11-03 03:00:00,803,755,29000.00000000
2022-11-04 03:00:00,1265,1208,65000.00000000
2022-11-05 03:00:00,856,741,34000.00000000
2022-11-06 03:00:00,661,590,26000.00000000
2022-11-07 03:00:00,965,944,56000.00000000
2022-11-08 03:00:00,1515,1382,108000.00000000
2022-11-09 03:00:00,1302,1013,115000.00000000
2022-11-10 03:00:00,1099,912,75000.00000000
2022-11-11 03:00:00,824,713,47000.00000000
2022-11-12 03:00:00,271,384,25000.00000000
2022-11-13 03:00:00,481,475,39000.00000000
2022-11-14 03:00:00,495,421,35000.00000000
2022-11-15 03:00:00,307,330,27000.00000000
2022-11-16 03:00:00,249,278,28000.00000000
2022-11-17 03:00:00,356,320,18000.00000000
2022-11-18 03:00:00,225,194,14000.00000000
2022-11-19 03:00:00,150,117,16000.00000000
2022-11-20 03:00:00,512,384,30000.00000000
2022-11-21 03:00:00,728,553,27000.00000000
2022-11-22 03:00:00,654,623,30000.00000000
2022-11-23 03:00:00,471,384,22000.00000000
2022-11-24 03:00:00,393,354,22000.00000000
2022-11-25 03:00:00,297,267,18000.00000000
2022-11-26 03:00:00,233,260,19000.00000000
2022-11-27 03:00:00,449,392,22000.00000000
2022-11-28 03:00:00,463,473,23000.00000000
2022-11-29 03:00:00,518,492,22000.00000000
2022-11-30 03:00:00,470,431,21000.00000000
2022-12-01 03:00:00,473,490,26000.00000000
2022-12-02 03:00:00,818,789,34000.00000000
2022-12-03 03:00:00,356,306,17000.00000000
2022-12-04 03:00:00,317,353,17000.00000000
2022-12-05 03:00:00,415,346,20000.00000000
2022-12-06 03:00:00,357,311,16000.00000000
2022-12-07 03:00:00,743,684,24000.00000000
2022-12-08 03:00:00,429,490,19000.00000000
2022-12-09 03:00:00,273,219,17000.00000000
2022-12-10 03:00:00,103,121,12000.00000000
2022-12-11 03:00:00,387,346,19000.00000000
2022-12-12 03:00:00,332,297,20000.00000000
2022-12-13 03:00:00,572,497,29000.00000000
2022-12-14 03:00:00,293,284,51000.00000000
2022-12-15 03:00:00,179,194,34000.00000000
2022-12-16 03:00:00,312,261,94000.00000000
2022-12-17 03:00:00,184,199,34000.00000000
2022-12-18 03:00:00,169,159,19000.00000000
2022-12-19 03:00:00,278,155,36000.00000000
2022-12-20 03:00:00,155,101,25000.00000000
2022-12-21 03:00:00,124,103,25000.00000000
2022-12-22 03:00:00,148,166,30000.00000000
2022-12-23 03:00:00,124,130,22000.00000000
2022-12-24 03:00:00,89,91,15000.00000000
2022-12-25 03:00:00,89,70,20000.00000000
2022-12-26 03:00:00,94,140,21000.00000000
2022-12-27 03:00:00,175,180,23000.00000000
2022-12-28 03:00:00,240,231,36000.00000000
2022-12-29 03:00:00,179,169,18000.00000000
2022-12-30 03:00:00,144,184,16000.00000000
2022-12-31 03:00:00,127,119,12000.00000000
2023-01-01 03:00:00,123,150,13000.00000000
2023-01-02 03:00:00,198,322,22000.00000000
2023-01-03 03:00:00,177,186,20000.00000000
2023-01-04 03:00:00,249,151,23000.00000000
2023-01-05 03:00:00,242,211,22000.00000000
2023-01-06 03:00:00,215,186,25000.00000000
2023-01-07 03:00:00,129,135,14000.00000000
2023-01-08 03:00:00,234,263,31000.00000000
2023-01-09 03:00:00,311,287,51000.00000000
2023-01-10 03:00:00,183,180,25000.00000000
2023-01-11 03:00:00,202,267,40000.00000000
2023-01-12 03:00:00,270,294,48000.00000000
2023-01-13 03:00:00,273,334,66000.00000000
2023-01-14 03:00:00,325,351,185000.00000000
2023-01-15 03:00:00,173,181,62000.00000000
2023-01-16 03:00:00,196,146,75000.00000000
2023-01-17 03:00:00,210,228,80000.00000000
2023-01-18 03:00:00,230,189,120000.00000000
2023-01-19 03:00:00,127,117,37000.00000000
2023-01-20 03:00:00,182,180,74000.00000000
2023-01-21 03:00:00,186,211,102000.00000000
2023-01-22 03:00:00,142,155,71000.00000000
2023-01-23 03:00:00,239,217,138000.00000000
2023-01-24 03:00:00,174,101,82000.00000000
2023-01-25 03:00:00,168,168,78000.00000000
2023-01-26 03:00:00,172,134,79000.00000000
2023-01-27 03:00:00,172,180,57000.00000000
2023-01-28 03:00:00,108,72,46000.00000000
2023-01-29 03:00:00,170,127,50000.00000000
2023-01-30 03:00:00,237,131,65000.00000000
2023-01-31 03:00:00,139,107,39000.00000000
2023-02-01 03:00:00,175,196,76000.00000000
2023-02-02 03:00:00,238,214,86000.00000000
2023-02-03 03:00:00,360,322,105000.00000000
2023-02-04 03:00:00,162,137,44000.00000000
2023-02-05 03:00:00,202,168,55000.00000000
2023-02-06 03:00:00,122,98,49000.00000000
2023-02-07 03:00:00,167,169,62000.00000000
2023-02-08 03:00:00,121,93,52000.00000000
2023-02-09 03:00:00,288,214,121000.00000000
2023-02-10 03:00:00,71,63,49000.00000000
2023-02-11 03:00:00,46,68,21000.00000000
2023-02-12 03:00:00,109,81,37000.00000000
2023-02-13 03:00:00,155,137,67000.00000000
2023-02-14 03:00:00,155,72,58000.00000000
2023-02-15 03:00:00,288,211,70000.00000000
2023-02-16 03:00:00,247,222,92000.00000000
2023-02-17 03:00:00,623,630,200000.00000000
2023-02-18 03:00:00,242,186,74000.00000000
2023-02-19 03:00:00,437,349,200000.00000000
2023-02-20 03:00:00,195,167,80000.00000000
2023-02-21 03:00:00,161,124,80000.00000000
2023-02-22 03:00:00,187,167,88000.00000000
2023-02-23 03:00:00,134,130,69000.00000000
2023-02-24 03:00:00,148,122,91000.00000000
2023-02-25 03:00:00,62,75,45000.00000000
2023-02-26 03:00:00,93,97,35000.00000000
2023-02-27 03:00:00,160,114,46000.00000000
2023-02-28 03:00:00,112,119,42000.00000000
2023-03-01 03:00:00,179,149,46000.00000000
2023-03-02 03:00:00,151,106,60000.00000000
2023-03-03 03:00:00,179,130,41000.00000000
2023-03-04 03:00:00,69,86,35000.00000000
2023-03-05 03:00:00,91,51,27000.00000000
2023-03-06 03:00:00,97,75,31000.00000000
2023-03-07 03:00:00,163,94,45000.00000000
2023-03-08 03:00:00,169,132,64000.00000000
2023-03-09 03:00:00,266,152,84000.00000000
2023-03-10 03:00:00,191,139,91000.00000000
2023-03-11 03:00:00,176,155,67000.00000000
2023-03-12 03:00:00,235,173,93000.00000000
2023-03-13 03:00:00,197,170,97000.00000000
2023-03-14 03:00:00,250,209,125000.00000000
2023-03-15 03:00:00,130,142,96000.00000000
2023-03-16 03:00:00,112,93,65000.00000000
2023-03-17 03:00:00,168,135,95000.00000000
2023-03-18 03:00:00,101,100,71000.00000000
2023-03-19 03:00:00,117,103,57000.00000000
2023-03-20 03:00:00,107,78,68000.00000000
2023-03-21 03:00:00,172,159,73000.00000000
2023-03-22 03:00:00,158,140,94000.00000000
2023-03-23 03:00:00,106,93,58000.00000000
2023-03-24 03:00:00,112,79,51000.00000000
2023-03-25 03:00:00,65,40,32000.00000000
2023-03-26 03:00:00,53,40,25000.00000000
2023-03-27 03:00:00,96,75,48000.00000000
2023-03-28 03:00:00,106,111,39000.00000000
2023-03-29 03:00:00,155,145,50000.00000000
2023-03-30 03:00:00,132,96,45000.00000000
2023-03-31 03:00:00,163,188,49000.00000000
2023-04-01 03:00:00,80,150,33000.00000000
2023-04-02 03:00:00,102,93,40000.00000000
2023-04-03 03:00:00,138,117,71000.00000000
2023-04-04 03:00:00,219,170,51000.00000000
2023-04-05 03:00:00,126,80,42000.00000000
2023-04-06 03:00:00,120,78,34000.00000000
2023-04-07 03:00:00,123,126,30000.00000000
2023-04-08 03:00:00,124,103,25000.00000000
2023-04-09 03:00:00,103,59,25000.00000000
2023-04-10 03:00:00,112,123,32000.00000000
2023-04-11 03:00:00,264,213,47000.00000000
2023-04-12 03:00:00,203,134,43000.00000000
2023-04-13 03:00:00,224,255,60000.00000000
2023-04-14 03:00:00,259,221,58000.00000000
2023-04-15 03:00:00,177,148,40000.00000000
2023-04-16 03:00:00,230,156,43000.00000000
2023-04-17 03:00:00,173,128,40000.00000000
2023-04-18 03:00:00,239,274,50000.00000000
2023-04-19 03:00:00,230,136,83000.00000000
2023-04-20 03:00:00,141,92,58000.00000000
2023-04-21 03:00:00,176,85,53000.00000000
2023-04-22 03:00:00,74,52,26000.00000000
2023-04-23 03:00:00,65,59,33000.00000000
2023-04-24 03:00:00,66,58,34000.00000000
2023-04-25 03:00:00,71,67,34000.00000000
2023-04-26 03:00:00,191,170,80000.00000000
2023-04-27 03:00:00,82,94,39000.00000000
2023-04-28 03:00:00,89,88,37000.00000000
2023-04-29 03:00:00,85,106,24000.00000000
2023-04-30 03:00:00,126,96,37000.00000000
2023-05-01 03:00:00,99,66,36000.00000000
2023-05-02 03:00:00,93,71,29000.00000000
2023-05-03 03:00:00,62,71,35000.00000000
2023-05-04 03:00:00,53,56,24000.00000000
2023-05-05 03:00:00,106,61,34000.00000000
2023-05-06 03:00:00,63,59,30000.00000000
2023-05-07 03:00:00,68,57,31000.00000000
2023-05-08 03:00:00,186,110,48000.00000000
2023-05-09 03:00:00,149,88,25000.00000000
2023-05-10 03:00:00,116,59,44000.00000000
2023-05-11 03:00:00,74,75,36000.00000000
2023-05-12 03:00:00,64,96,36000.00000000
2023-05-13 03:00:00,50,31,20000.00000000
2023-05-14 03:00:00,61,37,25000.00000000
2023-05-15 03:00:00,78,68,26000.00000000
2023-05-16 03:00:00,54,45,19000.00000000
2023-05-17 03:00:00,156,111,27000.00000000
2023-05-18 03:00:00,173,86,27000.00000000
2023-05-19 03:00:00,85,97,18000.00000000
2023-05-20 03:00:00,81,79,15000.00000000
2023-05-21 03:00:00,85,55,20000.00000000
2023-05-22 03:00:00,78,69,16000.00000000
2023-05-23 03:00:00,91,72,19000.00000000
2023-05-24 03:00:00,122,81,28000.00000000
2023-05-25 03:00:00,87,82,17000.00000000
2023-05-26 03:00:00,91,115,15000.00000000
2023-05-27 03:00:00,109,105,20000.00000000
2023-05-28 03:00:00,113,141,21000.00000000
2023-05-29 03:00:00,87,101,16000.00000000
2023-05-30 03:00:00,129,107,26000.00000000
2023-05-31 03:00:00,146,107,28000.00000000
2023-06-01 03:00:00,92,75,23000.00000000
2023-06-02 03:00:00,77,135,24000.00000000
2023-06-03 03:00:00,72,119,15000.00000000
2023-06-04 03:00:00,115,117,16000.00000000
2023-06-05 03:00:00,230,265,54000.00000000
2023-06-06 03:00:00,184,98,27000.00000000
2023-06-07 03:00:00,130,143,26000.00000000
2023-06-08 03:00:00,203,143,19000.00000000
2023-06-09 03:00:00,111,81,22000.00000000
2023-06-10 03:00:00,381,212,113000.00000000
2023-06-11 03:00:00,129,122,29000.00000000
2023-06-12 03:00:00,147,129,23000.00000000
2023-06-13 03:00:00,150,143,24000.00000000
2023-06-14 03:00:00,194,184,33000.00000000
2023-06-15 03:00:00,293,192,71000.00000000
2023-06-16 03:00:00,152,166,26000.00000000
2023-06-17 03:00:00,120,142,19000.00000000
2023-06-18 03:00:00,109,110,21000.00000000
2023-06-19 03:00:00,125,133,22000.00000000
2023-06-20 03:00:00,173,227,29000.00000000
2023-06-21 03:00:00,234,239,38000.00000000
2023-06-22 03:00:00,249,196,34000.00000000
2023-06-23 03:00:00,336,262,42000.00000000
2023-06-24 03:00:00,145,150,22000.00000000
2023-06-25 03:00:00,285,277,37000.00000000
2023-06-26 03:00:00,331,257,36000.00000000
2023-06-27 03:00:00,107,104,23000.00000000
2023-06-28 03:00:00,112,91,30000.00000000
2023-06-29 03:00:00,194,202,51000.00000000
2023-06-30 03:00:00,227,243,74000.00000000
2023-07-01 03:00:00,213,262,43000.00000000
2023-07-02 03:00:00,163,258,51000.00000000
2023-07-03 03:00:00,164,147,36000.00000000
2023-07-04 03:00:00,220,158,33000.00000000
2023-07-05 03:00:00,124,80,35000.00000000
2023-07-06 03:00:00,95,85,40000.00000000
2023-07-07 03:00:00,57,71,22000.00000000
2023-07-08 03:00:00,54,31,17000.00000000
2023-07-09 03:00:00,80,46,20000.00000000
2023-07-10 03:00:00,83,75,28000.00000000
2023-07-11 03:00:00,82,86,25000.00000000
2023-07-12 03:00:00,112,71,28000.00000000
2023-07-13 03:00:00,223,303,90000.00000000
2023-07-14 03:00:00,185,169,57000.00000000
2023-07-15 03:00:00,81,66,25000.00000000
2023-07-16 03:00:00,114,79,25000.00000000
2023-07-17 03:00:00,153,126,40000.00000000
2023-07-18 03:00:00,136,83,42000.00000000
2023-07-19 03:00:00,81,56,25000.00000000
2023-07-20 03:00:00,175,247,53000.00000000
2023-07-21 03:00:00,195,204,45000.00000000
2023-07-22 03:00:00,104,80,27000.00000000
2023-07-23 03:00:00,123,104,29000.00000000
2023-07-24 03:00:00,143,88,37000.00000000
2023-07-25 03:00:00,95,60,22000.00000000
2023-07-26 03:00:00,84,66,23000.00000000
2023-07-27 03:00:00,99,82,20000.00000000
2023-07-28 03:00:00,124,91,18000.00000000
2023-07-29 03:00:00,46,40,11000.00000000
2023-07-30 03:00:00,88,65,20000.00000000
2023-07-31 03:00:00,155,139,26000.00000000
2023-08-01 03:00:00,171,137,23000.00000000
