Open_time,Open,High,Low,Close,Volume,Quote asset volume,Number of trades,Open_BTCUSDT,High_BTCUSDT,Low_BTCUSDT,Close_BTCUSDT,Volume_BTCUSDT,Quote_asset_volume_BTCUSDT,Number_of_trades_BTCUSDT,Open_ETHUSDT,High_ETHUSDT,Low_ETHUSDT,Close_ETHUSDT,Volume_ETHUSDT,Quote_asset_volume_ETHUSDT,Number_of_trades_ETHUSDT,Open_BNBUSDT,High_BNBUSDT,Low_BNBUSDT,Close_BNBUSDT,Volume_BNBUSDT,Quote_asset_volume_BNBUSDT,Number_of_trades_BNBUSDT,SMA_20,EMA_20,Upper_Band,Middle_Band,Lower_Band,RSI,MACD,Signal,ADX,SlowK,SlowD,CCI,Buy_1000x_high,sell_1000x_high
2022-03-23,20.22,21.13,19.8,21.02,8218890.14,168389826.7503,358597.0,42364.13,43025.96,41751.47,42882.76,40828.87039,1725787170.5823965,916671.0,2969.64,3045.2,2920.65,3036.0,453962.7298,1350911495.416662,813052.0,404.3,411.7,397.9,408.4,535891.79,216596978.3039,283766.0,18.132,18.675226237296634,20.482622045331816,18.132,15.781377954668182,64.26093036231403,0.4334981837569565,0.0642648611177463,16.494020332340558,86.75013764554741,80.26130815331948,182.63364365595197,432.0,376.0
2022-03-24,21.02,21.5,20.25,21.26,7157667.86,149850409.6794,253390.0,42882.76,44220.89,42560.46,43991.46,56195.12374,2436258223.622338,1202541.0,3035.99,3129.11,2999.11,3110.76,577171.5239,1768485489.446136,853822.0,408.4,416.6,405.0,414.2,598366.115,246062725.2176,312271.0,18.3555,18.921395167077907,20.98652622563901,18.3555,15.72447377436098,65.24296289972928,0.5779695417999946,0.167005797254196,17.314632426787064,95.14440724671358,86.48075578366235,180.020013342228,312.0,335.0
2022-03-25,21.26,21.38,20.18,20.53,5860263.46,122159246.6369,179435.0,43991.46,45094.14,43579.0,44313.16,54614.43648,2421153187.6604123,1141588.0,3110.75,3193.28,3076.0,3102.14,489099.5572,1532535177.917052,745999.0,414.2,421.5,405.5,410.3,609691.876,252564500.671,324808.0,18.5155,19.074595627356203,21.264183139250576,18.5155,15.766816860749412,59.85551471528212,0.6263391865140591,0.2588724751061686,17.985994353522617,90.32764311415998,90.7407293354736,122.44826986611004,289.0,238.0
2022-03-26,20.54,21.04,20.24,20.91,3152433.21,65393377.6191,83292.0,44313.16,44792.99,44071.97,44511.27,23041.61741,1022802857.60941,693647.0,3102.13,3153.2,3084.9,3145.0,207134.847,646551585.682247,403089.0,410.3,416.4,407.5,415.8,280157.687,115642732.4925,197760.0,18.7115,19.24939604379847,21.55454256035681,18.7115,15.86845743964318,61.63161846273309,0.687411253608964,0.3445802308067277,18.60940185691992,86.7812427812428,90.75109771403874,101.73865797337676,174.0,190.0
2022-03-27,20.92,22.48,20.71,22.46,5215022.34,111669490.8943,204128.0,44511.27,46999.0,44421.46,46827.76,41874.91071,1907019662.3441496,1135096.0,3145.01,3299.37,3126.02,3295.65,335467.4145,1072163952.322084,645675.0,415.9,431.6,411.7,430.5,490998.1,206354927.6384,302985.0,19.014,19.555167849151,22.09096863812433,19.014,15.937031361875658,67.87498173015243,0.851072716391478,0.4458787279236778,20.18964690218859,88.32278994322792,88.47722527954352,143.88936977041348,331.0,367.0
2022-03-28,22.47,23.33,21.78,21.99,9121823.41,207898225.83,297796.0,46827.76,48189.84,46663.56,47122.21,58949.2614,2789898402.616576,1498975.0,3295.65,3431.15,3275.01,3332.92,527237.1133,1766636914.051384,964079.0,430.6,441.0,427.6,430.2,719102.183,312557900.7517,410910.0,19.265,19.78705662542233,22.451135590335177,19.265,16.078864409664817,64.45029480155516,0.9321057973020928,0.5431241417993607,22.11599012585987,88.39544858913496,87.83316043786851,142.9290290115928,497.0,461.0
2022-03-29,21.99,22.96,21.83,22.42,7738475.52,173592000.5455,214376.0,47122.21,48096.47,46950.85,47434.8,36772.28457,1748600385.4502351,1095678.0,3332.91,3481.87,3329.68,3400.51,465899.8226,1590016971.388558,884317.0,430.2,441.6,429.4,434.2,629773.894,274292494.9875,372204.0,19.493,20.03781313728687,22.889987488937845,19.493,16.096012511062153,66.13386809179784,1.0192729598696424,0.6383539054134171,23.9047374049832,87.38756836848877,88.03526896695051,123.14943902277108,566.0,535.0
2022-03-30,22.43,23.0,21.62,22.45,7985199.05,178216316.6687,229519.0,47434.79,47700.22,46445.42,47067.99,40947.2085,1932152559.8831124,1081607.0,3400.51,3446.9,3331.84,3385.79,356082.5231,1206555998.567904,675015.0,434.2,449.3,425.5,442.1,768982.427,337640530.5811,435588.0,19.7675,20.267545219450028,23.188563431157103,19.7675,16.346436568842893,66.25394417872019,1.0783438369824552,0.7263518917272247,25.24902164302616,81.86819722867968,85.88373806210109,105.2557059523138,523.0,538.0
2022-03-31,22.46,23.06,21.08,21.33,8749758.6,193846033.7579,248492.0,47067.99,47600.0,45200.0,45510.34,48645.12667,2262485160.568584,1290541.0,3385.8,3444.83,3261.35,3281.51,455091.2395,1526047563.602515,770564.0,442.1,452.3,423.9,428.9,957924.695,420218726.6781,511531.0,19.9495,20.368731389026216,23.295581140677925,19.9495,16.60341885932207,57.98769940380806,1.0229908907092202,0.7856796915236238,25.71220841658311,76.16021094744501,81.80532551487111,68.0842105263158,693.0,486.0
2022-04-01,21.33,22.17,20.6,22.07,7952049.94,170143990.9954,237844.0,45510.35,46720.09,44200.0,46283.49,56271.06474,2556532890.870311,1372216.0,3281.51,3481.29,3210.68,3455.21,532169.2392,1780259682.532936,883079.0,428.9,448.2,412.8,447.7,971822.655,420007037.5609,502046.0,20.146,20.53075697102372,23.505502344098087,20.146,16.786497655901908,61.41326969738348,1.0269965209429053,0.8339430574074801,25.49628177573184,73.15522800552742,77.06121206055066,47.091747976704085,435.0,445.0
