Open_time,buy_1000x_high_coinbase,sell_1000x_high_coinbase,total_trades_coinbase
2023-09-21,3,6,9050
2023-09-22,39,8,8426
2023-09-23,3,0,6923
2023-09-24,2,11,9225
2023-09-25,11,13,11339
2023-09-26,3,12,9715
2023-09-27,7,7,11988
2023-09-28,14,10,12590
2023-09-29,9,12,9884
2023-09-30,10,14,8302
2023-10-01,20,26,11742
2023-10-02,36,44,13994
2023-10-03,12,27,10995
2023-10-04,42,30,12267
2023-10-05,12,14,7204
2023-10-06,13,12,8248
2023-10-07,9,9,5408
2023-10-08,17,24,5697
2023-10-09,195,97,20595
2023-10-10,57,89,14104
2023-10-11,72,70,15292
2023-10-12,53,70,12941
2023-10-13,34,33,10054
2023-10-14,13,7,6281
2023-10-15,20,13,8688
2023-10-16,92,62,17301
2023-10-17,40,47,12911
2023-10-18,10,43,11223
2023-10-19,39,30,13826
2023-10-20,52,48,18453
2023-10-21,49,48,18400
2023-10-22,56,51,17148
2023-10-23,213,222,36485
2023-10-24,188,258,34087
2023-10-25,177,192,23433
2023-10-26,228,200,28399
2023-10-27,154,218,17681
2023-10-28,113,96,22512
2023-10-29,109,128,25713
2023-10-30,161,128,33007
2023-10-31,122,137,31561
2023-11-01,229,162,48629
2023-11-02,62,99,33649
2023-11-03,42,49,22432
2023-11-04,50,42,15510
2023-11-05,64,66,32483
2023-11-06,66,77,28944
2023-11-07,85,58,21666
2023-11-08,46,45,19555
2023-11-09,98,110,55900
2023-11-10,174,171,36748
2023-11-11,159,159,43289
2023-11-12,114,166,50854
2023-11-13,93,106,36999
2023-11-14,174,129,38212
2023-11-15,161,113,34882
2023-11-16,66,74,29801
2023-11-17,38,61,23404
2023-11-18,41,36,18403
2023-11-19,72,56,17091
2023-11-20,70,63,20160
2023-11-21,161,126,32159
2023-11-22,197,91,27642
2023-11-23,35,35,18139
2023-11-24,52,62,22615
2023-11-25,22,30,11368
2023-11-26,50,18,16288
2023-11-27,35,30,21457
2023-11-28,23,16,20850
2023-11-29,212,58,25604
2023-11-30,87,96,31758
2023-12-01,60,113,23073
2023-12-02,65,36,17162
2023-12-03,50,64,19486
2023-12-04,74,151,34723
2023-12-05,66,70,32609
2023-12-06,104,68,48882
2023-12-07,46,44,32471
2023-12-08,136,62,48387
2023-12-09,121,157,69152
2023-12-10,50,44,36247
2023-12-11,92,98,68277
2023-12-12,66,104,58942
2023-12-13,129,83,51149
2023-12-14,68,69,44236
2023-12-15,83,96,41989
2023-12-16,75,80,32150
2023-12-17,40,47,27716
2023-12-18,150,53,36850
2023-12-19,58,40,29302
2023-12-20,78,62,31590
2023-12-21,237,282,103785
2023-12-22,96,105,60378
2023-12-23,66,57,44726
2023-12-24,157,203,99747
2023-12-25,135,135,85817
2023-12-26,103,111,73040
2023-12-27,87,135,49456
2023-12-28,44,120,44421
2023-12-29,94,91,47317
2023-12-30,14,22,21536
2023-12-31,9,14,24589
2024-01-01,24,24,21631
2024-01-02,30,38,39432
2024-01-03,84,124,70262
2024-01-04,25,25,34887
2024-01-05,52,58,38056
2024-01-06,16,32,28419
2024-01-07,41,28,26564
2024-01-08,33,26,38835
2024-01-09,37,39,38182
2024-01-10,64,69,59439
2024-01-11,97,75,74054
2024-01-12,52,59,49005
2024-01-13,6,12,31213
2024-01-14,12,14,23210
2024-01-15,18,26,24340
2024-01-16,7,17,21974
2024-01-17,56,24,23650
2024-01-18,53,39,37619
2024-01-19,49,45,35055
2024-01-20,9,7,17308
2024-01-21,1,15,12058
2024-01-22,67,71,46815
2024-01-23,51,77,41968
2024-01-24,56,26,27751
2024-01-25,37,55,23986
2024-01-26,119,30,25587
2024-01-27,19,33,20472
2024-01-28,21,32,23863
2024-01-29,142,184,42087
2024-01-30,77,84,29875
2024-01-31,32,42,25408
2024-02-01,19,54,19712
2024-02-02,13,9,20859
2024-02-03,3,8,13533
2024-02-04,4,21,13510
2024-02-05,43,45,22465
2024-02-06,21,19,21072
2024-02-07,90,22,31868
2024-02-08,59,36,50540
2024-02-09,63,58,29495
2024-02-10,37,11,16814
2024-02-11,39,18,19260
2024-02-12,59,34,29288
2024-02-13,14,19,27788
2024-02-14,91,62,37836
