Open,High,Close,Volume,Quote asset volume,Number of trades,Volume_ETHUSDT,Quote_asset_volume_ETHUSDT,Number_of_trades_BNBUSDT,RSI,ATR,total_trades_coinbase,sell_1000x_high,Tendencia
0.43504514,0.43165468,0.42117957,0.1414263,0.0998052,213829.0,0.06936613,0.24647834,398493.0,34.04301478,3.02367524,39154.0,171.0,Bajista fuerte
0.42109563,0.41512736,0.40702796,0.17762803,0.11742857,252704.0,0.08643816,0.29249453,503004.0,32.81182158,2.93198415,53946.0,240.0,Bajista fuerte
0.40694685,0.42640482,0.42875366,0.19716249,0.13271424,257375.0,0.07912557,0.28090618,468897.0,36.60255121,2.85469957,46356.0,390.0,Alcista fuerte
0.42866822,0.47773673,0.46981324,0.28195121,0.20104442,477294.0,0.06857727,0.2480643,534390.0,43.13263095,2.88293532,67016.0,597.0,Alcista fuerte
0.46991889,0.5084581,0.50848099,0.28615148,0.21386316,529622.0,0.09016349,0.31656554,601818.0,48.51133364,2.89701137,69385.0,482.0,Alcista fuerte
0.50837967,0.50573595,0.48815053,0.16087762,0.12937551,298617.0,0.04829643,0.18778845,514617.0,46.0453871,2.82151055,48265.0,267.0,Bajista fuerte
0.48805325,0.4950418,0.50210281,0.09206491,0.07769368,162561.0,0.04193226,0.1663563,359677.0,47.99898342,2.7042598,33434.0,146.0,Alcista fuerte
0.50240131,0.54598483,0.55153375,0.24344624,0.19628562,517325.0,0.03665801,0.14873133,398373.0,54.31084795,2.75895553,64429.0,457.0,Alcista fuerte
0.55142385,0.56620649,0.54455761,0.22139326,0.19083668,482947.0,0.04588382,0.17936982,556328.0,53.32707552,2.70117299,62944.0,339.0,Bajista fuerte
0.54424982,0.53101303,0.48197166,0.42270732,0.3225191,585511.0,0.08395717,0.28748913,627465.0,45.38449135,2.75894635,87242.0,608.0,Bajista fuerte
0.48207489,0.49193078,0.46184051,0.24814537,0.18631292,395041.0,0.06845446,0.23041359,498434.0,43.15785001,2.73902161,62763.0,369.0,Bajista fuerte
0.46154919,0.48143107,0.47619143,0.19840244,0.14821408,297943.0,0.05346219,0.18288061,431967.0,45.22110026,2.70409149,59267.0,282.0,Alcista fuerte
0.47609653,0.4755979,0.45865141,0.24626767,0.17969256,364393.0,0.05871764,0.20064527,449243.0,43.1591003,2.64522782,65341.0,333.0,Bajista fuerte
0.45875929,0.48590317,0.49731917,0.1266078,0.09909239,209177.0,0.02680179,0.10608466,329538.0,48.71139092,2.59842583,45652.0,234.0,Alcista fuerte
0.49722006,0.52420766,0.51904487,0.23040475,0.18234009,385030.0,0.02698328,0.10844435,346252.0,51.57360951,2.61282398,59465.0,495.0,Alcista fuerte
0.51894143,0.52926308,0.52741624,0.31274394,0.24704625,584743.0,0.04981351,0.17654914,463331.0,52.6696561,2.58762227,75464.0,556.0,Alcista fuerte
0.52711186,0.5234299,0.49911303,0.29205534,0.23118891,471505.0,0.06439175,0.22199493,481805.0,48.65969608,2.53993497,64927.0,585.0,Bajista fuerte
0.49901357,0.51973556,0.45984732,0.37544392,0.28044283,653564.0,0.09513408,0.30317899,629399.0,43.69005816,2.73993961,84153.0,557.0,Bajista fuerte
0.45995496,0.46082053,0.45984732,0.2993991,0.20903122,449221.0,0.122827,0.35497313,543241.0,43.69005816,2.67708678,78264.0,510.0,Lateral
0.45975568,0.45109858,0.42357139,0.38099911,0.25352272,559374.0,0.17128388,0.45480119,615848.0,39.38069352,2.67300915,87515.0,491.0,Bajista fuerte
0.42348698,0.42543263,0.40543342,0.25898034,0.16999866,377457.0,0.09590487,0.25623067,512468.0,37.39462385,2.65493707,73035.0,541.0,Bajista fuerte
0.40515334,0.42115497,0.41818979,0.19076722,0.12756732,270529.0,0.06092062,0.170252,367892.0,39.69800631,2.58315585,55428.0,365.0,Alcista fuerte
0.41810645,0.41921058,0.40005182,0.30650441,0.19252397,391299.0,0.13209668,0.33677672,550883.0,37.58078445,2.59793043,64540.0,436.0,Bajista fuerte
0.40017138,0.43437682,0.4367264,0.24523092,0.163305,309738.0,0.08518537,0.23255046,670993.0,44.07551019,2.59236398,51902.0,509.0,Alcista fuerte
0.43663937,0.46509819,0.47180642,0.19194674,0.13941406,319932.0,0.08743298,0.250306,542753.0,49.48934543,2.55933798,50125.0,356.0,Alcista fuerte
0.47191168,0.46704258,0.44131072,0.19447378,0.14154967,327157.0,0.07783866,0.22600524,574157.0,45.37689023,2.51724241,39362.0,277.0,Bajista fuerte
0.44122277,0.47093136,0.48037711,0.24456488,0.17696115,421778.0,0.0635699,0.1850527,532865.0,50.99487196,2.50529652,48016.0,780.0,Alcista fuerte
0.48028138,0.48123663,0.47738734,0.13634448,0.1058961,274699.0,0.04052342,0.12839724,408859.0,50.56624011,2.43920391,34090.0,264.0,Bajista leve
0.4772922,0.48240327,0.47938052,0.17817969,0.13664335,327845.0,0.04267651,0.13424311,389752.0,50.86276562,2.35140363,33176.0,429.0,Alcista leve
0.47928499,0.46859809,0.43931753,0.21058058,0.15058951,326373.0,0.06321599,0.18310888,517026.0,45.0175443,2.37344623,45858.0,303.0,Bajista fuerte
0.43922999,0.4357379,0.42855434,0.18019871,0.12342877,275151.0,0.06744002,0.18766415,451974.0,43.56890579,2.33462864,39922.0,252.0,Bajista fuerte
