Open_time,Volume,Quote asset volume,Number of trades,Open_BTCUSDT,High_BTCUSDT,Close_BTCUSDT,Open_ETHUSDT,High_ETHUSDT,Low_ETHUSDT,Close_ETHUSDT,Volume_ETHUSDT,Quote_asset_volume_ETHUSDT,Number_of_trades_ETHUSDT,Open_BNBUSDT,High_BNBUSDT,Low_BNBUSDT,Close_BNBUSDT,Volume_BNBUSDT,Quote_asset_volume_BNBUSDT,Number_of_trades_BNBUSDT,SMA_20,EMA_20,Upper_Band,Middle_Band,RSI,ATR,buy_1000x_high_coinbase,sell_1000x_high_coinbase,total_trades_coinbase,Tweets_Utilizados,Cantidad_neg,Cantidad_neu,Tweets_Utilizados_whale_alert,Buy_1000x_high,sell_1000x_high,Tendencia
2021-10-17,0.27073545,0.30289593,526261.00000000,0.87147917,0.86178969,0.88409405,0.74349438,0.74959621,0.71978144,0.74792347,0.08699383,0.29020067,1025324.00000000,0.58869908,0.57399394,0.60031035,0.60000000,0.18266340,0.25906619,546483.00000000,34.49700000,36.22863472,44.31517926,34.49700000,65.87321491,3.68607052,25.00000000,33.00000000,68283.00000000,104,21.00000000,41.00000000,23.00000000,283.00000000,206.00000000,Lateral
2021-10-18,0.28538850,0.31904675,550249.00000000,0.88409403,0.88034127,0.89339957,0.74796347,0.74272127,0.72917520,0.72120068,0.09622100,0.31555895,994548.00000000,0.60008760,0.60688014,0.62735535,0.63066813,0.22804727,0.32752431,694852.00000000,35.24000000,36.69924094,44.71041921,35.24000000,63.14277102,3.63706548,17.00000000,18.00000000,70832.00000000,160,15.00000000,71.00000000,102.00000000,271.00000000,271.00000000,Bajista
2021-10-19,0.22763849,0.25297266,405631.00000000,0.89331781,0.91432096,0.93728343,0.72120141,0.74107181,0.74378772,0.75583881,0.07924946,0.26669787,925015.00000000,0.63074901,0.62851579,0.65816892,0.63767798,0.18761974,0.27925195,685710.00000000,35.94300000,37.14121799,45.02494274,35.94300000,63.43485097,3.49441795,14.00000000,13.00000000,67030.00000000,256,32.00000000,112.00000000,91.00000000,337.00000000,249.00000000,Lateral
2021-10-20,0.35240442,0.40302233,991320.00000000,0.93728361,0.96203853,0.97053950,0.75582634,0.81552445,0.76885080,0.83035525,0.13421693,0.45477601,1766454.00000000,0.63753833,0.64647339,0.66038572,0.66659365,0.19530116,0.29414644,693317.00000000,36.73300000,37.83443533,45.87804915,36.73300000,68.33144198,3.54053095,18.00000000,12.00000000,94847.00000000,307,56.00000000,141.00000000,91.00000000,350.00000000,415.00000000,Alcista
2021-10-21,0.39351781,0.45314378,1014715.00000000,0.97053949,0.95520053,0.89694217,0.83041339,0.86989063,0.81714518,0.80198801,0.20742202,0.71731892,2380751.00000000,0.66644766,0.64430982,0.62646863,0.60000000,0.40035301,0.57826967,1225287.00000000,37.27800000,38.31115577,46.51425162,37.27800000,63.62446898,3.54620731,24.00000000,27.00000000,101951.00000000,193,27.00000000,68.00000000,138.00000000,399.00000000,272.00000000,Bajista
2021-10-22,0.42929471,0.50202751,1241116.00000000,0.89694234,0.90001689,0.86785833,0.80199116,0.81510483,0.78449403,0.78079914,0.11343105,0.39338912,1133846.00000000,0.59986859,0.62938122,0.63688761,0.61840088,0.23435915,0.34260957,722480.00000000,37.85300000,38.80628379,47.13755944,37.85300000,64.73385208,3.55790679,25.00000000,35.00000000,102141.00000000,139,26.00000000,52.00000000,106.00000000,429.00000000,426.00000000,Alcista
2021-10-23,0.15205797,0.18770291,441867.00000000,0.86785869,0.86234488,0.87942535,0.78079709,0.81631619,0.79741306,0.83192100,0.07513171,0.27185257,940891.00000000,0.61826544,0.60276936,0.64109953,0.63198248,0.09917742,0.15150855,425737.00000000,38.44500000,39.29616153,47.69915906,38.44500000,65.47845542,3.42591345,15.00000000,13.00000000,58540.00000000,89,18.00000000,34.00000000,47.00000000,224.00000000,183.00000000,Lateral
2021-10-24,0.18341282,0.21637711,487576.00000000,0.87942552,0.85764449,0.87102775,0.83192407,0.82016141,0.80367296,0.80968305,0.08172924,0.29361496,917969.00000000,0.63184406,0.60450022,0.63045888,0.61073384,0.11479671,0.17177448,483168.00000000,39.00300000,39.58319376,47.76303676,39.00300000,60.36268160,3.38834820,19.00000000,11.00000000,64449.00000000,78,19.00000000,28.00000000,23.00000000,261.00000000,182.00000000,Bajista
2021-10-25,0.18428051,0.22230193,507703.00000000,0.87102791,0.89960387,0.91405760,0.80968354,0.83320665,0.83138717,0.84588693,0.08097888,0.29888566,939963.00000000,0.61060009,0.60904370,0.64575482,0.63110624,0.12412226,0.18745053,548234.00000000,39.66100000,40.05622293,48.00178390,39.66100000,64.44833657,3.33846619,14.00000000,23.00000000,62321.00000000,142,20.00000000,62.00000000,76.00000000,247.00000000,248.00000000,Alcista
2021-10-26,0.23651973,0.28428397,778131.00000000,0.91405778,0.89168606,0.86091248,0.84588472,0.84930538,0.83725827,0.82258416,0.09977447,0.36409266,1285913.00000000,0.63096802,0.61163998,0.64309466,0.61577218,0.14008696,0.21018291,589181.00000000,40.29800000,40.52039217,48.19324566,40.29800000,65.10544249,3.29214717,43.00000000,76.00000000,88554.00000000,158,30.00000000,50.00000000,56.00000000,249.00000000,286.00000000,Lateral
