Open_time,Volume,Quote asset volume,Number of trades,Quote_asset_volume_ETHUSDT,Number_of_trades_ETHUSDT,Volume_BNBUSDT,Quote_asset_volume_BNBUSDT,Number_of_trades_BNBUSDT,RSI,SlowK,SlowD,total_trades_coinbase,Compound total coin,Buy_1000x_high,sell_1000x_high,Tendencia
2021-11-23,6985881.02,278796802.9236,402824.0,2125825553.2223232,1098270.0,1202541.917,700415875.4591,861890.0,43.38392059,20.56129584,22.96237336,55989.0,51.5323,86.0,97.0,Alcista
2021-11-24,7264687.01,284751411.1149,387815.0,1913428104.737214,990018.0,1079667.803,632805869.1918,849926.0,39.12448014,13.66404422,18.8879238,63745.0,30.7911,162.0,76.0,Bajista
2021-11-25,7371944.97,291275670.0275,420429.0,1962939107.4477448,1123629.0,1536194.042,958625175.4105,1281222.0,42.04145614,15.82298348,16.68277451,59505.0,45.3333,129.0,127.0,Alcista
2021-11-26,16596267.73,595573466.4397,731785.0,2994490664.021844,1654553.0,2413553.439,1447846558.5573,1595124.0,34.66145853,10.47249714,13.31984161,124643.0,60.7,285.0,183.0,Bajista
2021-11-27,6817533.23,240751573.5563,272723.0,1133169071.35039,723831.0,1183849.36,712876474.9266,834017.0,36.13677025,11.88095369,12.7254781,60935.0,37.9298,133.0,156.0,Alcista
2021-11-28,10439305.23,353148799.1172,406960.0,1421535999.752079,842343.0,1281130.351,757806021.786,850287.0,37.65282818,13.36219938,11.90521673,77980.0,34.8908,298.0,225.0,Alcista
2021-11-29,7442054.72,270930920.9438,417415.0,1772611136.392454,947503.0,1090520.864,672538451.6903,866073.0,41.02031276,24.23447846,16.49254384,61736.0,40.585,141.0,137.0,Alcista
2021-11-30,9758902.6,365534586.8589,633558.0,3391424543.472383,1808789.0,1380656.205,858030125.9787,1002401.0,43.11903341,37.58450791,25.06039525,70896.0,40.5171,143.0,241.0,Alcista
2021-12-01,6936636.91,261055768.325,385146.0,2382156066.737272,1367302.0,1384101.087,879872431.1519,973369.0,40.92351147,43.18764697,35.00221111,84442.0,38.5052,158.0,92.0,Bajista
2021-12-02,5653240.06,202979098.7329,308854.0,2047468326.802657,1062149.0,1104596.881,685357094.9824,776160.0,39.10362266,40.61674009,40.46296499,71964.0,61.5848,86.0,94.0,Bajista
2021-12-03,9114532.42,317527763.2912,450494.0,2972156867.637412,1516700.0,1250950.167,758470254.7317998,903964.0,35.63930027,28.13509545,37.31316084,87091.0,36.7253,205.0,191.0,Bajista
2021-12-04,24608037.9,700064729.2681,946882.0,4370074804.513231,2264288.0,2611783.647,1425050943.3721,1498320.0,29.67331766,23.50048655,30.75077403,183838.0,23.2041,423.0,309.0,Bajista
2021-12-05,11536652.53,323667386.275,397320.0,2224220852.2791967,1088546.0,1258393.72,707167735.8036,749846.0,28.40498802,20.51557731,24.05038643,102315.0,45.2867,393.0,281.0,Bajista
2021-12-06,16137260.41,430716088.7916,533025.0,2991267298.82173,1447061.0,2005928.932,1119432809.5291,1152308.0,28.18672306,23.49947263,22.50517883,120264.0,38.7219,405.0,371.0,Lateral
2021-12-07,13072414.91,384971841.1315,523750.0,1830621575.426944,986492.0,1017363.943,595103047.9773,807295.0,35.24242935,27.13567395,23.71690796,88384.0,41.5013,366.0,372.0,Alcista
2021-12-08,10373073.12,303196296.9737,358512.0,1868281437.565388,991178.0,1113215.449,651285928.0383,805159.0,34.23371082,30.76150187,27.13221615,73235.0,39.8771,249.0,313.0,Bajista
2021-12-09,9383772.0,264460990.2859,322649.0,1970732612.694487,1038790.0,1096635.012,648380380.7178,772261.0,30.10068081,28.96815898,28.9551116,79712.0,64.3176,263.0,167.0,Bajista
2021-12-10,11306697.95,304674251.8432,363700.0,2287155262.156313,1098758.0,1083121.564,621292933.926,730571.0,29.50055818,21.2483091,26.99265665,65416.0,51.338,300.0,266.0,Bajista
2021-12-11,8148503.07,224132666.45,295702.0,1711893271.974861,831899.0,950448.474,529027286.0263,649423.0,33.73774224,17.89980354,22.70542387,63441.0,41.868,156.0,224.0,Alcista
2021-12-12,5833358.42,167307239.6663,262481.0,1061361793.041272,591319.0,544940.336,308334857.2714,476827.0,38.74439747,23.86666667,21.00492643,46674.0,28.8171,134.0,242.0,Alcista
2021-12-13,10566935.28,291320002.882,407130.0,2068534029.5511048,1144882.0,1037150.705,558660545.4829,678583.0,33.16064637,22.8,21.52215673,73700.0,38.3979,320.0,211.0,Bajista
2021-12-14,10443455.71,271233551.2572,346210.0,1499985094.813692,915721.0,1263782.101,660926721.8958,832636.0,33.70670841,19.26911527,21.97859398,58821.0,38.033,347.0,450.0,Lateral
2021-12-15,13450685.93,353163805.8593,472465.0,2102151850.1145847,1238234.0,1147515.305,604825337.5588,798472.0,36.61259709,15.34649527,19.13853685,78344.0,55.5935,510.0,465.0,Alcista
2021-12-16,14427194.9,387629608.9523,472704.0,1489983161.888796,848885.0,735504.682,394779330.6026,562102.0,34.75645031,16.40939636,17.00833564,60480.0,49.0054,879.0,803.0,Bajista
2021-12-17,10403388.65,261264454.2241,335540.0,1789265513.242975,1052871.0,921732.763,484731644.0489,636038.0,32.56572332,13.90087674,15.21892279,62930.0,38.6093,421.0,390.0,Bajista
2021-12-18,7437623.45,186389544.4169,259813.0,1326617546.276588,740899.0,580436.098,306816951.2816,429085.0,35.2719842,12.33836713,14.21621341,44420.0,69.1056,399.0,241.0,Alcista
2021-12-19,5757699.98,145010019.3819,213829.0,1208752533.595065,688078.0,540256.684,289149894.6572,398493.0,34.04301478,10.51715166,12.25213184,39154.0,46.2091,163.0,171.0,Bajista
2021-12-20,7053641.28,170007060.201,252704.0,1416566980.6910007,844070.0,727454.212,377351552.6286,503004.0,32.81182158,12.11178715,11.65576865,53946.0,27.0691,227.0,240.0,Bajista
2021-12-21,7752931.61,191688314.8186,257375.0,1364232642.488108,799127.0,686439.708,362435440.6159,468897.0,36.60255121,14.62336603,12.41743495,46356.0,32.1774,206.0,390.0,Alcista
2021-12-22,10788179.43,288608060.3913,477294.0,1215914916.525937,675826.0,721787.109,386718252.4613,534390.0,43.13263095,30.99729428,19.24414916,67016.0,40.2199,456.0,597.0,Alcista
2021-12-23,10938539.93,306790205.3687,529622.0,1525274496.506047,911905.0,844421.954,452954925.0665,601818.0,48.51133364,56.41497474,34.01187835,69385.0,28.8558,491.0,482.0,Alcista
2021-12-24,6454013.86,186952638.9682,298617.0,943702137.854923,593513.0,665688.415,363769480.7955,514617.0,46.0453871,71.55348897,52.988586,48265.0,42.9393,308.0,267.0,Bajista
2021-12-25,3990671.82,113646965.0096,162561.0,846912042.129082,515115.0,455399.793,248401383.1592,359677.0,47.99898342,79.46472019,69.14439463,33434.0,34.1349,168.0,146.0,Alcista
2021-12-26,9409786.98,281858170.1732,517325.0,767315615.268866,496076.0,536338.775,291474552.8352,398373.0,54.31084795,82.48336048,77.83385655,64429.0,28.3519,391.0,457.0,Alcista
2021-12-27,8620339.37,274129363.1657,482947.0,905682624.776776,557367.0,803473.155,448470409.7036,556328.0,53.32707552,85.77419789,82.57409285,62944.0,41.3792,344.0,339.0,Lateral
2021-12-28,15826935.59,460908150.6476,585511.0,1393962041.501678,846780.0,1002556.271,547720713.5012,627465.0,45.38449135,74.65275062,80.970103,87242.0,33.513,641.0,608.0,Bajista
2021-12-29,9578005.6,267712846.4027,395041.0,1136202240.431213,719559.0,740117.867,390415720.3118,498434.0,43.15785001,55.41535226,71.94743359,62763.0,29.0593,415.0,369.0,Bajista
2021-12-30,7797319.16,213673335.7466,297943.0,921537785.386881,583361.0,639166.717,331680388.3552,431967.0,45.22110026,43.39291973,57.82034087,59267.0,53.4734,370.0,282.0,Alcista
2021-12-31,9510787.97,258322507.2364,364393.0,1001765030.138141,617370.0,677844.749,350384267.7,449243.0,43.1591003,39.29197336,46.03341512,65341.0,58.4337,356.0,333.0,Bajista
2022-01-01,5227230.45,143998965.1034,209177.0,574718328.452744,408666.0,446171.541,231696121.2996,329538.0,48.71139092,45.53101998,42.73863769,45652.0,49.7268,228.0,234.0,Alcista
2022-01-02,8942930.92,262077782.3053,385030.0,585374957.73046,450610.0,404475.541,212693827.9376,346252.0,51.57360951,53.06694707,45.96331347,59465.0,37.2809,483.0,495.0,Alcista
2022-01-03,11890491.01,353857200.1497,584743.0,892944105.5529939,594541.0,663841.021,345896511.2778,463331.0,52.6696561,64.67291843,54.42362849,75464.0,28.4185,507.0,556.0,Lateral
2022-01-04,11149885.08,331365102.5583,471505.0,1098182607.925726,676651.0,687436.638,351709153.0318,481805.0,48.65969608,61.84553026,59.86179859,64927.0,30.7674,561.0,585.0,Bajista
2022-01-05,14135011.01,401227022.4103,653564.0,1464819255.093511,962670.0,985152.004,487039058.787,629399.0,43.69005816,46.54428135,57.68757668,84153.0,35.5011,650.0,557.0,Bajista
2022-01-06,11412775.24,299936557.6505,449221.0,1698727637.365026,1006279.0,986669.9,462959866.6669,543241.0,43.69005816,30.25746066,46.21575742,78264.0,22.1377,491.0,510.0,Lateral
2022-01-07,14333874.43,363043454.6843,559374.0,2149562773.329257,1307591.0,1331260.03,600028684.1946,615848.0,39.38069352,16.97887222,31.26020475,87515.0,30.2893,579.0,491.0,Bajista
