Open_time,SMA_20,EMA_20,Upper_Band,Middle_Band,Lower_Band,RSI,MACD,Signal,ADX,SlowK,SlowD,CCI,ATR,MFI
2022-05-10,15.59900000,15.06855634,20.04613346,15.59900000,11.15186654,29.69907625,-1.72282136,-1.30982946,31.73420992,6.76505677,5.86391233,-171.27594145,1.39754520,17.37578048
2022-05-11,15.14450000,14.49917002,20.25251517,15.14450000,10.03648483,24.55731576,-1.98311105,-1.44448577,34.24903918,9.04819116,6.63465123,-191.89993703,1.55486340,14.84323570
2022-05-12,14.66600000,13.94782049,20.27761795,14.66600000,9.05438205,23.81404924,-2.19475555,-1.59453973,36.76270715,13.39055162,9.73459985,-176.19353152,1.60237316,9.64562673
2022-05-13,14.25450000,13.61564711,19.83235792,14.25450000,8.67664208,33.75754776,-2.19596129,-1.71482404,36.72988488,19.98666099,14.14180126,-92.96297531,1.71863222,21.88181215
2022-05-14,13.91100000,13.39510929,19.32580526,13.91100000,8.49619474,37.94425177,-2.10487222,-1.79283368,36.69940705,30.89443354,21.42388205,-61.55511747,1.72444420,29.27041583
2022-05-15,13.59650000,13.24414650,18.72463524,13.59650000,8.46836476,40.40692738,-1.96883522,-1.82803399,36.37860067,42.51366120,31.13158524,-37.10273466,1.69412676,30.91400386
2022-05-16,13.29400000,12.99518017,18.37240290,13.29400000,8.21559710,36.77090898,-1.93394772,-1.84921673,36.17972074,43.13296903,38.84702126,-45.53525416,1.67597485,30.50303185
2022-05-17,12.99900000,12.80897253,17.87747476,12.99900000,8.12052524,38.83054918,-1.85186836,-1.84974706,35.99504651,42.18579235,42.61080753,-39.39463896,1.62126236,31.22704269
2022-05-18,12.62400000,12.49287991,17.36889368,12.62400000,7.87910632,34.28384712,-1.89010398,-1.85781844,36.32635762,33.73406193,39.68427444,-70.35449094,1.62974362,26.46896756
2022-05-19,12.31600000,12.25831992,16.89170279,12.31600000,7.74029721,37.04932445,-1.85544409,-1.85734357,36.73327928,33.95026853,36.62337427,-71.60473285,1.59833336,26.90419160
