Open_time,Open_BTCUSDT,High_BTCUSDT,Low_BTCUSDT,Close_BTCUSDT,Volume_BTCUSDT,Quote_asset_volume_BTCUSDT,Number_of_trades_BTCUSDT,Open_ETHUSDT,High_ETHUSDT,Low_ETHUSDT,Close_ETHUSDT,Volume_ETHUSDT,Quote_asset_volume_ETHUSDT,Number_of_trades_ETHUSDT,Open_BNBUSDT,High_BNBUSDT,Low_BNBUSDT,Close_BNBUSDT,Volume_BNBUSDT,Quote_asset_volume_BNBUSDT,Number_of_trades_BNBUSDT
2023-02-19,24632.05000000,25192.00000000,24192.57000000,24271.76000000,300395.99542000,7408745406.62434370,7660484,1691.62000000,1726.59000000,1666.14000000,1679.75000000,401023.04770000,680092027.33129800,634114,316.60000000,318.90000000,310.30000000,311.50000000,336004.27400000,105898919.48690000,271165
2023-02-20,24272.51000000,25121.23000000,23840.83000000,24842.20000000,346938.56997000,8561226688.07291020,9808728,1679.74000000,1719.89000000,1650.56000000,1703.27000000,451314.83350000,765198951.96357700,752116,311.50000000,319.80000000,308.00000000,315.40000000,514483.79700000,162561577.72910000,332108
2023-02-21,24843.89000000,25250.00000000,24148.34000000,24452.16000000,376000.82868000,9280992344.42887060,10712371,1703.27000000,1716.66000000,1636.30000000,1659.76000000,520354.46880000,874136698.28459100,837901,315.50000000,317.40000000,309.30000000,311.50000000,385161.29700000,120775804.85290000,299905
2023-02-22,24450.67000000,24476.05000000,23574.69000000,24182.21000000,379425.75365000,9101745945.99070800,11395957,1659.77000000,1666.95000000,1595.07000000,1643.14000000,528875.48090000,861982489.01657100,887617,311.50000000,312.90000000,303.20000000,312.40000000,368344.98600000,113217908.51720000,285011
2023-02-23,24182.21000000,24599.59000000,23608.00000000,23940.20000000,398400.45437000,9596083721.51295270,11396877,1643.15000000,1679.00000000,1628.75000000,1650.53000000,501305.97170000,829754759.56551500,849095,312.50000000,315.30000000,305.80000000,308.30000000,300641.24100000,93188074.38300000,225358
2023-02-24,23940.20000000,24132.35000000,22841.19000000,23185.29000000,343582.57453000,8087524100.39044000,11531424,1650.52000000,1664.66000000,1575.64000000,1607.80000000,512515.49820000,831164574.11824000,829249,308.30000000,312.10000000,298.60000000,302.30000000,328726.40000000,100468727.72210000,249902
2023-02-25,23184.04000000,23219.13000000,22722.00000000,23157.07000000,191311.81010000,4406286300.27211680,9124568,1607.80000000,1608.98000000,1557.33000000,1594.58000000,290188.03910000,462128193.10439300,532834,302.30000000,303.00000000,295.50000000,302.40000000,178538.40800000,53640769.21590000,166704
2023-02-26,23157.07000000,23689.99000000,23059.18000000,23554.85000000,202323.73623000,4716158181.22558950,9506015,1594.58000000,1651.26000000,1587.76000000,1641.36000000,308607.99410000,499002379.52012900,544008,302.50000000,309.80000000,300.70000000,308.70000000,151419.16600000,46179503.18080000,141711
2023-02-27,23554.85000000,23897.99000000,23106.77000000,23492.09000000,283706.08590000,6659785788.32937360,11754195,1641.37000000,1665.22000000,1608.00000000,1633.45000000,431861.41290000,707841123.05760700,679771,308.70000000,309.40000000,300.50000000,304.60000000,234405.82100000,71433037.06520000,187654
2023-02-28,23492.09000000,23600.00000000,23020.97000000,23141.57000000,264140.99894000,6172930936.03733470,9568743,1633.45000000,1647.52000000,1596.66000000,1605.23000000,393523.16470000,640150766.31120500,626287,304.70000000,305.70000000,300.00000000,301.40000000,186649.19200000,56536923.34190000,172220
