Open_time,Open_BTCUSDT,High_BTCUSDT,Low_BTCUSDT,Close_BTCUSDT,Volume_BTCUSDT,Quote_asset_volume_BTCUSDT,Number_of_trades_BTCUSDT,Open_ETHUSDT,High_ETHUSDT,Low_ETHUSDT,Close_ETHUSDT,Volume_ETHUSDT,Quote_asset_volume_ETHUSDT,Number_of_trades_ETHUSDT,Open_BNBUSDT,High_BNBUSDT,Low_BNBUSDT,Close_BNBUSDT,Volume_BNBUSDT,Quote_asset_volume_BNBUSDT,Number_of_trades_BNBUSDT
2021-09-20,47241.75000000,47347.25000000,42500.00000000,43015.62000000,78003.52444300,3457139274.30007093,1842231,3328.57000000,3347.82000000,2913.39000000,2977.28000000,917939.57849000,2834781758.89261510,1708278,408.50000000,410.10000000,353.70000000,364.10000000,1865673.94010000,703797628.79795600,977685
2021-09-21,43016.64000000,43639.00000000,39600.00000000,40734.38000000,84534.08048500,3551997786.69035526,1820721,2977.32000000,3105.83000000,2652.00000000,2765.90000000,971519.88941000,2827179157.43496560,1754962,364.10000000,376.00000000,336.80000000,344.40000000,1577059.12610000,566624712.03119900,763984
2021-09-22,40734.09000000,44000.55000000,40565.39000000,43543.61000000,58349.05542000,2482639471.90759590,1304011,2766.72000000,3088.88000000,2737.54000000,3076.92000000,677457.64825000,1993084668.61438400,1200519,344.40000000,379.90000000,342.30000000,379.00000000,1085212.97200000,394051611.60320000,597515
2021-09-23,43546.37000000,44978.00000000,43069.09000000,44865.26000000,48699.57655000,2147211305.48208910,1196106,3076.92000000,3174.50000000,3033.85000000,3152.50000000,459293.88580000,1428616217.71812100,885568,378.90000000,384.60000000,369.00000000,383.50000000,992215.17600000,374836991.56990000,519442
2021-09-24,44865.26000000,45200.00000000,40675.00000000,42810.57000000,84113.42629200,3596718231.05054862,1819744,3152.41000000,3158.52000000,2733.00000000,2928.53000000,932090.88560000,2715718192.37097600,1607374,383.50000000,385.30000000,333.60000000,355.00000000,1718950.21900000,611327922.31823400,748096
2021-09-25,42810.58000000,42966.84000000,41646.28000000,42670.64000000,33594.57189000,1428238748.20952580,949787,2928.22000000,2967.52000000,2801.57000000,2921.73000000,491974.02260000,1428143403.47811100,934301,355.00000000,360.80000000,343.20000000,349.60000000,916797.61700000,322522702.06660000,418464
2021-09-26,42670.63000000,43950.00000000,40750.00000000,43160.90000000,49879.99765000,2124657079.27977650,1374145,2921.84000000,3115.51000000,2738.17000000,3059.37000000,703594.47800000,2062409598.89487600,1347301,349.60000000,353.00000000,320.00000000,344.00000000,1538759.16180000,521735683.85030100,622577
2021-09-27,43160.90000000,44350.00000000,42098.00000000,42147.35000000,39776.84383000,1728912299.80342430,1001487,3059.36000000,3164.94000000,2922.71000000,2925.59000000,510130.73190000,1564096695.37296700,1043885,344.00000000,357.60000000,335.00000000,335.50000000,956544.06900000,332372476.51150000,457187
2021-09-28,42147.35000000,42787.38000000,40888.00000000,41026.54000000,43372.26240000,1816305387.83885820,1045389,2924.76000000,2970.82000000,2789.00000000,2804.91000000,511325.46430000,1477983245.66970200,928494,335.50000000,344.60000000,330.00000000,333.00000000,922077.22700000,310828343.69740000,417006
2021-09-29,41025.01000000,42590.00000000,40753.88000000,41524.28000000,33511.53487000,1399625476.05637630,884909,2805.15000000,2950.00000000,2782.00000000,2850.45000000,411305.08930000,1180681056.16231400,748804,332.90000000,375.40000000,331.20000000,367.70000000,1696420.04500000,612547661.88390000,653011
2021-09-30,41524.29000000,44141.37000000,41410.17000000,43824.10000000,46381.22781000,2005486003.56467730,1197815,2850.45000000,3048.42000000,2837.19000000,3000.61000000,506896.76120000,1514341937.30711600,992243,367.70000000,388.80000000,366.40000000,387.50000000,1163674.20600000,439628574.41840000,551245
2021-10-01,43820.01000000,48495.00000000,43283.03000000,48141.61000000,66244.87492000,3076094886.59247420,1771237,3000.62000000,3330.00000000,2969.07000000,3309.91000000,648714.61510000,2063112280.66779100,1446386,387.50000000,423.40000000,381.50000000,421.50000000,1440336.04100000,584311192.71600000,727854
2021-10-02,48141.60000000,48336.59000000,47430.18000000,47634.90000000,30508.98131000,1459064880.53244480,996116,3309.91000000,3469.00000000,3257.00000000,3387.76000000,422551.18110000,1417055615.81663700,1046194,421.40000000,438.20000000,410.60000000,427.10000000,1039006.51800000,441907791.72760000,604611
2021-10-03,47634.89000000,49228.08000000,47088.00000000,48200.01000000,30825.05601000,1482764462.19057740,1114294,3387.77000000,3488.00000000,3342.51000000,3417.73000000,360586.89050000,1231536168.31536300,816339,427.00000000,437.20000000,421.50000000,430.50000000,820910.79200000,352575425.70360000,519696
2021-10-04,48200.01000000,49536.12000000,46891.00000000,49224.94000000,46796.49372000,2258464361.12635660,1437692,3417.73000000,3437.19000000,3270.00000000,3386.31000000,485204.64200000,1631562261.55497600,1090407,430.50000000,430.90000000,410.90000000,426.30000000,974423.35900000,410376184.39930000,557908
